CodCliente,NomeCliente,CidadeOrigem,email,Genero,DataNascimento
1,Howard Henry,E’erdun Wula,hhenry0@utexas.edu,M,05/03/1989 00:00:00
2,Nicole Wells,Trelleborg,nwells1@slashdot.org,F,01/08/1991 00:00:00
3,Dennis Hunter,Gagnoa,dhunter2@nature.com,M,31/10/1997 00:00:00
4,Nicholas Harris,Arish,nharris3@statcounter.com,M,13/01/1988 00:00:00
5,Jose Alexander,La Floresta,jalexander4@salon.com,M,16/06/1984 00:00:00
6,Margaret Rice,Martin,mrice5@rediff.com,F,21/08/1991 00:00:00
7,Janice Kennedy,Wakefield,jkennedy6@cam.ac.uk,F,09/06/1996 00:00:00
8,Ralph Riley,Saldanha,rriley7@purevolume.com,M,05/07/2000 00:00:00
9,Kathy Grant,Delingha,kgrant8@creativecommons.org,F,23/03/1991 00:00:00
10,Aaron Fernandez,Lianzhou,afernandez9@home.pl,M,20/06/1986 00:00:00
11,Jose Clark,Rzhev,jclarka@github.io,M,27/10/1999 00:00:00
12,Andrea Carroll,Nūr,acarrollb@ifeng.com,F,13/09/1981 00:00:00
13,Eric Pierce,Werangere,epiercec@opera.com,M,04/09/1983 00:00:00
14,Russell Russell,Culeng,rrusselld@unesco.org,M,01/11/1998 00:00:00
15,Johnny Tucker,Sinamar,jtuckere@bigcartel.com,M,04/06/1996 00:00:00
16,Barbara Knight,Rusocice,bknightf@globo.com,F,15/12/1990 00:00:00
17,Amanda Turner,Bitin,aturnerg@theglobeandmail.com,F,27/11/1984 00:00:00
18,Justin Moore,‘Arīshah,jmooreh@cbsnews.com,M,10/06/1990 00:00:00
19,Steve Murray,Danidehe,smurrayi@businessweek.com,M,14/06/1980 00:00:00
20,Carolyn Wright,Waterloo,cwrightj@aboutads.info,F,26/04/1992 00:00:00
21,Angela Kelly,Heshan,akellyk@posterous.com,F,13/04/2000 00:00:00
22,David Olson,Gedangan,dolsonl@whitehouse.gov,M,19/03/1992 00:00:00
23,Frank Fowler,Zili,ffowlerm@harvard.edu,M,11/12/1994 00:00:00
24,Keith Miller,Yurla,kmillern@nature.com,M,17/11/1981 00:00:00
25,Arthur Harrison,Gambalidio,aharrisono@wisc.edu,M,04/02/1998 00:00:00
26,Ronald Palmer,Shiyan,rpalmerp@eventbrite.com,M,09/04/1987 00:00:00
27,Walter Bowman,Bentar Girang,wbowmanq@paypal.com,M,28/03/1989 00:00:00
28,Alan Johnson,Jargalant,ajohnsonr@boston.com,M,03/12/1987 00:00:00
29,Ashley Cruz,Luzhai,acruzs@examiner.com,F,17/12/1990 00:00:00
30,Katherine Tucker,Minglanilla,ktuckert@nymag.com,F,06/12/1987 00:00:00
31,Denise Stephens,Novoshakhtinsk,dstephensu@ucoz.com,F,30/08/2000 00:00:00
32,Gloria Mills,Longhua,gmillsv@auda.org.au,F,15/02/1992 00:00:00
33,Juan Harvey,Atães,jharveyw@cdbaby.com,M,21/09/1988 00:00:00
34,Jerry Edwards,Timon,jedwardsx@elegantthemes.com,M,22/06/1992 00:00:00
35,Amy Lopez,Baiqiao,alopezy@edublogs.org,F,29/12/1985 00:00:00
36,Melissa Franklin,Banjar Batanpoh,mfranklinz@loc.gov,F,16/01/1995 00:00:00
